FrameNum CenterX(mm) CenterY(mm) Areas
341 105.36 174.20 Floor
342 104.89 172.70 Floor
343 104.19 171.14 Floor
344 103.35 169.56 Floor
345 102.33 168.04 Floor
346 101.03 166.52 Floor
347 99.51 164.96 Floor
348 97.78 163.26 Floor
349 95.93 161.29 Floor
350 94.13 159.15 Floor
351 92.59 157.00 Floor
352 91.46 154.55 OBJA
353 90.93 151.79 OBJA
354 91.00 148.87 OBJA
355 91.52 145.97 OBJA
356 92.26 143.24 OBJA
357 92.99 140.89 OBJA
358 93.55 139.14 OBJA
359 93.80 137.96 OBJA
360 93.80 137.43 OBJA
361 93.63 137.46 OBJA
362 93.36 137.60 OBJA
363 93.12 137.75 OBJA
364 92.96 137.83 OBJA
365 92.88 137.85 OBJA
366 92.88 137.80 OBJA
367 92.88 137.79 OBJA
368 92.89 137.81 OBJA
369 92.93 137.76 OBJA
370 93.02 137.70 OBJA
371 93.15 137.66 OBJA
372 93.32 137.51 OBJA
373 93.56 137.31 OBJA
374 93.85 137.05 OBJA
375 94.13 136.75 OBJA
376 94.37 136.33 OBJA
377 94.43 135.79 OBJA
378 94.34 135.09 OBJA
379 94.20 134.30 OBJA
380 94.06 133.64 OBJA
381 94.11 133.02 OBJA
382 94.42 132.56 OBJA
383 94.96 132.28 OBJA
384 95.61 132.22 OBJA
385 96.26 132.25 OBJA
386 96.78 132.26 OBJA
387 97.05 132.22 OBJA
388 97.08 132.02 OBJA
389 96.94 131.72 OBJA
390 96.76 131.35 OBJA
391 96.66 130.97 OBJA
392 96.62 130.70 OBJA
393 96.57 130.59 OBJA
394 96.52 130.66 OBJA
395 96.48 130.83 OBJA
396 96.48 131.07 OBJA
397 96.46 131.36 OBJA
398 96.48 131.60 OBJA
399 96.57 131.77 OBJA
400 96.81 131.74 OBJA
401 97.23 131.63 OBJA
402 97.89 131.41 OBJA
403 98.65 131.26 OBJA
404 99.36 131.18 OBJA
405 100.06 131.09 OBJA
406 100.71 131.04 OBJA
407 101.09 131.05 OBJA
408 101.33 131.17 OBJA
409 101.33 131.35 OBJA
410 101.21 131.53 OBJA
411 101.00 131.73 OBJA
412 100.80 131.88 OBJA
413 100.55 132.11 OBJA
414 100.26 132.32 OBJA
415 100.15 132.47 OBJA
416 100.06 132.62 OBJA
417 100.00 132.70 OBJA
418 100.14 132.77 OBJA
419 100.24 132.83 OBJA
420 100.52 132.90 OBJA
421 100.88 132.97 OBJA
422 101.42 132.90 OBJA
423 101.96 132.86 OBJA
424 102.40 132.88 OBJA
425 102.66 133.04 OBJA
426 102.90 133.19 OBJA
427 102.89 133.49 OBJA
428 102.94 133.82 OBJA
429 102.99 134.18 OBJA
430 103.09 134.51 OBJA
431 103.16 134.87 OBJA
432 103.37 135.11 OBJA
433 103.48 135.47 OBJA
434 103.56 135.88 OBJA
435 103.61 136.32 OBJA
436 103.74 136.71 OBJA
437 103.65 137.21 OBJA
438 103.65 137.56 OBJA
439 103.66 137.81 OBJA
440 103.58 137.91 OBJA
441 103.46 137.96 OBJA
442 103.35 137.93 OBJA
443 103.32 137.90 OBJA
444 103.41 137.81 OBJA
445 103.54 137.75 OBJA
446 103.63 137.68 OBJA
447 103.74 137.58 OBJA
448 103.87 137.43 OBJA
449 104.19 137.26 OBJA
450 104.66 137.06 OBJA
451 105.21 136.85 OBJA
452 105.72 136.52 OBJA
453 106.23 136.11 OBJA
454 106.58 135.66 OBJA
455 106.79 135.29 OBJA
456 106.86 134.99 OBJA
457 106.94 134.83 OBJA
458 107.01 134.72 OBJA
459 107.18 134.77 OBJA
460 107.40 134.80 OBJA
461 107.55 134.85 OBJA
462 107.57 134.76 OBJA
463 107.42 134.52 OBJA
464 107.13 134.17 OBJA
465 106.84 133.80 OBJA
466 106.53 133.51 OBJA
467 106.25 133.24 OBJA
468 106.08 133.05 OBJA
469 105.98 132.96 OBJA
470 105.98 132.88 OBJA
471 106.00 132.97 OBJA
472 106.09 133.03 OBJA
473 106.17 133.03 OBJA
474 106.31 133.02 OBJA
475 106.49 132.97 OBJA
476 106.64 132.90 OBJA
477 106.75 132.74 OBJA
478 106.85 132.63 OBJA
479 106.91 132.53 OBJA
480 106.95 132.48 OBJA
481 106.96 132.52 OBJA
482 106.96 132.55 OBJA
483 106.94 132.59 OBJA
484 106.94 132.67 OBJA
485 106.94 132.71 OBJA
486 106.94 132.72 OBJA
487 106.94 132.75 OBJA
488 106.94 132.73 OBJA
489 106.94 132.75 OBJA
490 106.94 132.78 OBJA
491 106.92 132.85 OBJA
492 106.88 132.92 OBJA
493 106.90 132.91 OBJA
494 106.93 132.92 OBJA
495 107.05 132.89 OBJA
496 107.30 132.79 OBJA
497 107.72 132.64 OBJA
498 108.24 132.43 OBJA
499 108.82 132.18 OBJA
500 109.41 131.94 OBJA
501 109.99 131.73 OBJA
502 110.41 131.64 OBJA
503 110.77 131.61 OBJA
504 110.88 131.77 OBJA
505 110.90 131.98 OBJA
506 110.79 132.27 OBJA
507 110.73 132.47 OBJA
508 110.74 132.61 OBJA
509 110.84 132.57 OBJA
510 110.97 132.49 OBJA
511 111.20 132.42 OBJA
512 111.39 132.44 OBJA
513 111.64 132.43 OBJA
514 111.73 132.55 OBJA
515 111.75 132.75 OBJA
516 111.63 133.02 OBJA
517 111.58 133.22 OBJA
518 111.57 133.32 OBJA
519 111.59 133.38 OBJA
520 111.54 133.52 OBJA
521 111.57 133.68 OBJA
522 111.72 133.74 OBJA
523 111.82 133.81 OBJA
524 111.86 134.01 OBJA
525 111.91 134.22 OBJA
526 112.02 134.43 OBJA
527 112.15 134.74 OBJA
528 112.45 134.94 OBJA
529 112.78 135.22 OBJA
530 113.24 135.43 OBJA
531 113.88 135.35 OBJA
532 114.44 135.19 OBJA
533 114.76 135.07 OBJA
534 114.91 135.03 OBJA
535 114.96 134.91 OBJA
536 114.90 134.89 OBJA
537 114.45 135.25 OBJA
538 114.06 135.57 OBJA
539 113.66 135.97 OBJA
540 113.34 136.28 OBJA
541 113.15 136.47 OBJA
542 112.99 136.68 OBJA
543 112.95 136.84 OBJA
544 112.99 136.97 OBJA
545 113.16 136.96 OBJA
546 113.30 137.00 OBJA
547 113.31 137.13 OBJA
548 113.37 137.15 OBJA
549 113.37 137.20 OBJA
550 113.24 137.30 OBJA
551 113.08 137.40 OBJA
552 112.96 137.46 OBJA
553 112.85 137.57 OBJA
554 112.76 137.69 OBJA
555 112.65 137.80 OBJA
556 112.51 137.91 OBJA
557 112.38 137.99 OBJA
558 112.17 137.98 OBJA
559 111.91 137.97 OBJA
560 111.57 137.87 OBJA
561 111.15 137.70 OBJA
562 110.76 137.46 OBJA
563 110.40 137.12 OBJA
564 110.15 136.68 OBJA
565 109.88 136.22 OBJA
566 109.66 135.83 OBJA
567 109.47 135.46 OBJA
568 109.35 135.04 OBJA
569 109.20 134.67 OBJA
570 109.08 134.28 OBJA
571 108.89 134.02 OBJA
572 108.75 133.73 OBJA
573 108.59 133.39 OBJA
574 108.45 133.00 OBJA
575 108.28 132.60 OBJA
576 108.14 132.26 OBJA
577 107.95 131.93 OBJA
578 107.77 131.62 OBJA
579 107.56 131.28 OBJA
580 107.42 130.97 OBJA
581 107.33 130.71 OBJA
582 107.30 130.44 OBJA
583 107.27 130.27 OBJA
584 107.30 130.16 OBJA
585 107.40 130.08 OBJA
586 107.60 130.09 OBJA
587 107.79 130.14 OBJA
588 108.03 130.16 OBJA
589 108.32 130.15 OBJA
590 108.66 130.05 OBJA
591 108.97 129.85 OBJA
592 109.23 129.62 OBJA
593 109.46 129.37 OBJA
594 109.63 129.14 OBJA
595 109.73 128.96 OBJA
596 109.80 128.80 OBJA
597 109.82 128.69 OBJA
598 109.89 128.65 OBJA
599 109.96 128.64 OBJA
600 109.99 128.63 OBJA
601 109.95 128.63 OBJA
602 109.96 128.65 OBJA
603 110.00 128.65 OBJA
604 110.03 128.75 OBJA
605 110.04 128.88 OBJA
606 109.96 129.03 OBJA
607 109.89 129.26 OBJA
608 109.78 129.50 OBJA
609 109.63 129.64 OBJA
610 109.52 129.69 OBJA
611 109.42 129.63 OBJA
612 109.45 129.51 OBJA
613 109.57 129.35 OBJA
614 109.76 129.19 OBJA
615 109.93 129.05 OBJA
616 110.07 129.00 OBJA
617 110.14 129.03 OBJA
618 110.08 129.04 OBJA
619 109.92 129.15 OBJA
620 109.65 129.26 OBJA
621 109.29 129.36 OBJA
622 108.91 129.54 OBJA
623 108.55 129.76 OBJA
624 108.22 129.99 OBJA
625 107.97 130.27 OBJA
626 107.81 130.45 OBJA
627 107.67 130.46 OBJA
628 107.48 130.39 OBJA
629 107.24 130.31 OBJA
630 106.90 130.11 OBJA
631 106.59 129.79 OBJA
632 106.33 129.39 OBJA
633 106.16 129.10 OBJA
634 106.03 129.00 OBJA
635 105.97 129.03 OBJA
636 105.90 129.10 OBJA
637 105.87 129.24 OBJA
638 105.69 129.41 OBJA
639 105.41 129.52 OBJA
640 105.01 129.38 Floor
641 104.57 128.84 Floor
642 104.20 128.00 Floor
643 103.84 126.94 Floor
644 103.46 125.66 Floor
645 103.03 124.06 Floor
646 102.55 122.19 Floor
647 102.03 120.26 Floor
648 101.40 118.20 Floor
649 100.74 116.19 Floor
650 99.96 114.14 Floor
651 99.03 112.24 Floor
652 97.99 110.47 Floor
653 96.73 108.62 Floor
654 95.29 106.65 Floor
655 93.69 104.53 Floor
656 91.98 102.23 Floor
657 90.27 99.89 Floor
658 88.76 97.51 Floor
659 87.54 95.18 Floor
660 86.63 93.00 Floor
661 86.09 91.04 Floor
662 85.95 89.00 Floor
