Frame X Y
332 106.33 180.32
333 106.32 180.32
334 106.32 180.30
335 106.32 180.16
336 107.10 180.30
337 107.71 180.36
338 107.80 180.51
339 108.18 180.51
340 108.30 180.51
341 108.30 179.21
342 108.18 177.07
343 108.01 175.59
344 107.29 174.28
345 103.31 171.40
346 102.25 169.53
347 100.93 168.45
348 98.84 165.78
349 96.86 163.28
350 95.49 162.62
351 93.41 159.45
352 91.03 156.64
353 90.05 153.50
354 89.75 150.55
355 89.75 148.64
356 89.75 145.37
357 91.17 141.55
358 92.15 139.32
359 92.52 137.74
360 92.52 137.18
361 92.52 137.05
362 92.03 137.05
363 91.30 137.05
364 91.30 137.05
365 91.30 137.05
366 91.35 137.05
367 91.35 137.07
368 91.36 137.06
369 91.39 137.07
370 91.39 137.07
371 91.44 137.06
372 91.55 137.02
373 91.74 136.80
374 92.01 136.78
375 92.27 136.77
376 92.67 136.46
377 93.25 136.11
378 93.55 135.63
379 93.55 135.14
380 93.55 134.52
381 92.37 132.96
382 92.37 132.96
383 92.37 132.96
384 93.07 133.31
385 94.13 133.78
386 95.75 133.78
387 96.18 133.96
388 96.47 133.96
389 96.47 133.75
390 96.56 133.74
391 96.48 133.65
392 96.48 133.15
393 96.43 132.53
394 96.39 132.39
395 96.30 132.38
396 95.44 132.38
397 94.87 132.53
398 94.62 132.65
399 94.60 132.94
400 94.60 132.94
401 94.60 132.94
402 94.79 132.58
403 95.83 132.38
404 96.38 132.10
405 97.01 132.04
406 97.35 131.78
407 97.48 131.66
408 98.27 131.61
409 98.31 131.61
410 98.43 131.61
411 98.55 131.76
412 98.47 131.87
413 98.43 132.32
414 98.43 132.75
415 98.46 132.76
416 98.40 132.76
417 98.33 132.93
418 98.19 133.06
419 98.19 132.93
420 98.19 132.96
421 98.53 133.02
422 98.76 133.02
423 99.33 133.02
424 99.86 133.02
425 100.48 133.24
426 100.84 133.65
427 100.97 133.80
428 101.21 134.06
429 101.96 134.06
430 102.69 134.06
431 103.19 134.13
432 103.45 134.08
433 103.59 134.08
434 103.75 134.13
435 103.77 134.26
436 104.57 135.11
437 104.70 136.99
438 104.70 137.90
439 104.57 137.99
440 104.50 138.12
441 104.45 138.13
442 104.45 138.14
443 104.50 138.17
444 104.59 138.24
445 104.66 138.24
446 104.66 138.24
447 104.66 138.25
448 104.46 138.27
449 104.32 138.30
450 104.32 138.36
451 104.32 138.36
452 105.38 138.36
453 106.16 138.36
454 106.16 137.79
455 106.16 137.32
456 105.68 137.03
457 105.21 136.80
458 105.21 136.80
459 105.21 137.03
460 106.40 137.45
461 107.59 138.26
462 107.68 138.27
463 107.77 138.27
464 107.77 138.27
465 107.69 138.16
466 107.68 138.00
467 107.24 137.78
468 106.75 137.66
469 106.60 137.61
470 106.60 137.29
471 106.60 137.14
472 106.78 136.92
473 106.78 136.88
474 106.78 136.88
475 106.53 136.78
476 106.52 136.51
477 106.52 136.10
478 106.44 135.76
479 106.44 135.72
480 106.44 135.72
481 106.44 135.76
482 106.44 135.88
483 106.43 135.89
484 106.41 135.89
485 106.40 135.88
486 106.40 135.84
487 106.40 135.81
488 106.39 135.80
489 106.39 135.80
490 106.39 135.80
491 106.37 135.97
492 106.20 136.04
493 106.15 136.14
494 106.03 136.55
495 106.03 136.55
496 106.03 136.55
497 106.17 136.42
498 106.36 136.21
499 106.52 136.04
500 106.67 135.43
501 107.09 135.19
502 107.59 135.00
503 107.92 135.00
504 108.12 135.00
505 108.12 135.27
506 108.21 135.57
507 108.26 135.57
508 108.34 135.57
509 108.37 135.57
510 108.40 135.49
511 108.70 135.49
512 109.52 135.17
513 109.97 135.14
514 110.35 135.12
515 110.41 135.12
516 110.68 135.14
517 110.86 135.21
518 110.96 135.44
519 110.96 135.60
520 111.05 135.65
521 111.05 135.85
522 111.05 135.85
523 111.11 135.85
524 111.51 135.50
525 111.70 135.50
526 111.86 135.50
527 112.07 135.55
528 112.37 135.80
529 112.55 136.21
530 113.36 136.33
531 113.67 136.35
532 114.42 136.35
533 114.81 136.35
534 114.81 136.35
535 114.81 136.35
536 114.81 136.47
537 114.10 136.75
538 113.99 136.88
539 113.96 136.93
540 113.95 137.08
541 113.32 137.37
542 113.32 137.41
543 113.22 138.01
544 112.95 138.15
545 112.95 138.40
546 112.95 138.44
547 112.95 138.65
548 113.20 138.84
549 113.22 138.85
550 113.22 138.86
551 113.20 138.88
552 112.92 138.94
553 112.80 139.03
554 112.80 139.05
555 112.70 139.06
556 112.69 139.06
557 112.46 139.05
558 112.40 139.16
559 111.71 139.16
560 111.24 139.17
561 111.01 140.16
562 111.01 140.36
563 110.90 140.36
564 110.56 140.36
565 110.55 140.12
566 110.16 139.82
567 109.56 139.76
568 109.18 139.62
569 109.12 139.18
570 109.03 138.78
571 108.82 138.24
572 108.82 138.18
573 108.82 137.81
574 108.58 137.80
575 108.55 137.67
576 108.55 137.66
577 108.58 137.21
578 108.76 137.18
579 108.76 136.55
580 108.76 135.48
581 108.41 134.87
582 108.22 134.10
583 108.17 133.59
584 108.11 133.08
585 108.03 132.76
586 108.03 132.62
587 108.03 132.21
588 108.18 132.00
589 108.22 131.87
590 108.67 131.85
591 109.17 131.40
592 109.42 131.20
593 109.82 130.53
594 110.29 129.54
595 110.46 129.24
596 110.46 128.66
597 110.60 128.64
598 110.63 128.63
599 110.60 128.63
600 110.54 128.55
601 110.54 128.55
602 110.50 128.55
603 110.47 128.42
604 110.39 128.42
605 110.25 128.98
606 110.22 129.21
607 110.04 129.21
608 109.77 130.45
609 109.55 130.77
610 109.23 130.98
611 109.23 130.98
612 109.23 130.98
613 109.34 130.65
614 109.63 130.12
615 109.64 129.95
616 109.97 129.70
617 110.20 129.70
618 110.34 129.67
619 110.34 129.67
620 110.34 129.83
621 109.98 130.64
622 109.25 131.33
623 108.76 132.02
624 108.23 133.09
625 107.87 133.85
626 107.87 135.42
627 107.87 135.91
628 107.91 135.91
629 107.91 135.91
630 107.91 135.20
631 107.91 134.31
632 107.21 133.09
633 106.57 132.50
634 106.16 132.35
635 106.10 131.72
636 105.92 130.64
637 105.75 130.54
638 105.61 130.47
639 105.41 130.43
640 105.37 130.38
641 104.97 129.96
642 104.63 129.20
643 104.14 127.58
644 102.69 125.70
645 102.51 124.85
646 101.85 122.98
647 101.78 122.01
648 100.84 119.91
649 100.08 118.16
650 99.47 116.47
651 98.80 114.42
652 98.54 112.38
653 97.97 110.57
654 97.00 109.36
655 95.21 109.02
656 93.47 107.08
657 91.36 104.46
658 89.43 101.64
659 88.36 99.04
660 87.23 94.36
661 86.11 91.78
662 85.89 90.37
663 85.63 88.19
664 85.63 86.33
665 85.89 83.83
666 86.41 80.48
667 86.69 77.21
668 87.38 74.97
669 88.08 72.46
670 88.08 69.79
671 88.12 66.80
672 88.15 63.49
673 89.01 59.01
674 90.54 55.49
675 92.47 51.69
676 93.24 50.38
677 95.09 48.65
678 95.92 48.53
679 96.34 48.38
680 96.68 45.53
681 97.75 43.88
682 98.39 43.04
683 98.57 41.97
684 99.86 41.01
685 101.57 40.94
686 103.74 40.27
687 106.24 40.22
688 108.48 39.84
689 110.80 39.83
690 112.30 39.83
691 114.23 38.58
692 117.04 37.66
693 120.86 36.62
694 123.73 36.00
695 125.84 36.00
696 128.61 36.00
697 132.18 36.10
698 134.54 37.14
699 138.28 38.39
700 142.04 39.50
701 143.87 40.61
702 148.16 40.90
703 151.85 42.67
704 155.31 44.27
705 161.21 44.29
706 164.72 44.29
707 168.64 46.45
708 172.27 48.89
709 175.92 49.97
710 179.17 52.40
711 182.26 54.92
712 185.37 58.69
713 187.85 60.43
714 190.53 60.43
715 193.35 60.43
716 193.70 60.26
717 193.70 60.15
718 193.76 60.15
719 193.76 60.15
720 193.80 60.86
721 193.94 60.88
722 194.06 61.23
723 194.27 61.27
724 194.58 61.50
725 194.89 61.84
726 195.54 62.02
727 196.39 62.17
728 197.21 62.28
729 198.00 62.78
730 200.64 63.15
731 201.37 63.70
732 201.88 64.78
733 201.97 65.50
734 202.08 66.07
735 202.08 66.51
736 202.51 67.38
737 202.92 68.49
738 203.17 68.64
739 203.46 69.67
740 204.00 70.29
741 204.03 70.29
742 204.98 70.29
743 205.92 70.12
744 206.06 69.47
745 206.49 69.26
746 206.65 69.26
747 206.82 69.26
748 206.82 69.28
749 206.96 69.34
750 207.33 69.62
751 208.00 70.56
752 208.05 70.68
753 208.35 70.69
754 208.35 70.69
755 208.35 70.69
756 208.24 70.62
757 208.15 70.43
758 208.15 70.39
759 208.15 70.39
760 208.27 70.38
761 208.71 70.39
762 208.90 70.41
763 209.07 70.43
764 209.31 70.50
765 209.36 70.50
766 209.46 70.50
767 209.46 70.42
768 209.46 70.13
769 208.45 69.19
770 208.01 68.55
771 207.57 67.55
772 207.33 66.65
773 206.91 66.65
774 206.75 66.65
775 206.41 67.26
776 205.71 67.26
777 204.87 67.36
778 204.24 68.29
779 204.12 68.68
780 204.12 69.38
781 204.03 69.47
782 204.12 69.66
783 204.15 69.87
784 204.19 70.09
785 204.39 70.72
786 204.39 71.40
787 204.39 72.14
788 204.31 72.26
789 203.63 72.61
790 203.58 72.97
791 203.58 73.60
792 203.63 73.86
793 203.82 74.53
794 204.02 75.77
795 204.28 76.62
796 204.31 77.39
797 204.55 77.64
798 204.80 78.22
799 205.06 78.32
800 205.79 78.65
801 206.29 78.83
802 208.06 79.06
803 208.59 79.65
804 208.84 80.04
805 208.84 80.36
806 209.03 80.74
807 209.03 81.21
808 209.48 81.65
809 209.85 82.09
810 210.30 82.26
811 210.82 82.36
812 210.98 82.36
813 211.04 82.26
814 211.04 82.07
815 210.98 81.89
816 211.10 81.52
817 211.10 81.52
818 211.10 81.52
819 211.21 81.52
820 211.49 81.52
821 211.58 81.47
822 211.96 81.44
823 212.02 80.93
824 213.24 78.93
825 213.64 78.65
826 214.20 78.43
827 214.28 78.43
828 214.46 78.58
829 214.47 78.58
830 214.50 78.47
831 214.50 78.47
832 214.47 78.18
833 214.25 77.29
834 213.90 76.59
835 213.90 76.53
836 213.97 76.33
837 214.01 76.06
838 214.01 75.88
839 214.46 75.88
840 214.98 76.06
841 215.11 76.49
842 215.11 77.10
843 215.11 77.10
844 214.49 77.10
845 213.83 76.62
846 213.09 76.50
847 213.01 76.39
848 212.92 76.39
849 212.34 76.50
850 212.09 76.90
851 211.76 77.15
852 210.66 77.24
853 210.66 77.24
854 210.66 77.24
855 210.87 76.71
856 211.19 76.66
857 212.64 76.41
858 213.76 76.41
859 216.06 76.41
860 217.45 76.57
861 219.06 76.87
862 220.25 77.58
863 222.91 78.58
864 225.62 79.13
865 228.46 80.04
866 230.57 82.09
867 233.12 83.08
868 234.93 83.85
869 236.55 84.41
870 238.65 84.84
871 239.64 85.36
872 241.02 85.38
873 242.82 86.06
874 243.50 86.23
875 243.96 86.59
876 244.84 86.59
877 245.99 86.79
878 249.49 86.82
879 251.15 87.09
880 252.37 87.38
881 253.45 87.83
882 254.46 89.57
883 254.76 91.55
884 254.98 92.98
885 255.30 96.09
886 255.30 98.01
887 255.30 99.70
888 254.77 101.58
889 254.60 103.14
890 254.29 104.89
891 253.53 105.40
892 253.53 106.15
893 253.53 107.41
894 253.67 108.00
895 253.95 108.19
896 254.27 108.43
897 254.35 108.93
898 254.35 109.16
899 254.27 109.23
900 254.24 109.43
901 254.24 109.43
902 254.24 109.43
903 254.60 109.42
904 254.93 109.32
905 254.94 109.29
906 255.28 108.86
907 255.33 108.86
908 255.42 108.86
909 256.53 109.08
910 256.71 109.21
911 256.95 109.21
912 257.47 109.21
