Frame X Y
332 72.47 193.25
333 71.94 193.25
334 71.94 192.42
335 71.94 189.85
336 73.11 186.99
337 74.26 183.09
338 74.33 178.03
339 76.29 172.53
340 78.22 166.32
341 81.18 162.76
342 83.73 157.82
343 84.83 153.87
344 86.91 149.61
345 89.20 144.50
346 90.33 142.23
347 90.33 140.92
348 90.33 138.39
349 90.28 134.00
350 89.01 132.11
351 89.01 129.60
352 89.01 125.75
353 92.76 123.10
354 95.98 120.83
355 98.26 118.74
356 102.50 115.38
357 105.90 112.79
358 107.66 111.15
359 107.98 111.15
360 108.38 111.15
361 109.71 111.93
362 110.44 112.78
363 110.53 113.52
364 110.93 113.85
365 111.21 114.17
366 111.34 114.21
367 111.48 114.36
368 111.34 114.43
369 111.34 114.44
370 111.37 114.49
371 111.57 114.66
372 111.79 115.17
373 112.33 115.36
374 112.82 115.37
375 112.96 115.37
376 113.07 115.36
377 113.58 114.77
378 114.11 114.75
379 114.28 114.71
380 114.29 114.71
381 115.14 114.20
382 115.26 114.10
383 115.26 114.10
384 115.26 114.06
385 115.26 113.94
386 115.26 113.58
387 115.17 113.29
388 115.15 112.58
389 113.28 111.44
390 112.63 110.37
391 112.19 109.67
392 112.00 108.52
393 112.00 107.22
394 111.99 107.22
395 112.00 107.22
396 112.02 108.55
397 112.15 109.80
398 112.60 110.33
399 112.84 111.13
400 113.84 111.64
401 115.15 112.11
402 116.10 112.61
403 118.78 113.50
404 122.37 114.30
405 122.76 114.42
406 122.76 114.50
407 122.76 115.51
408 122.73 115.85
409 122.44 116.01
410 122.17 116.34
411 122.17 116.34
412 122.17 116.56
413 122.57 116.67
414 122.57 116.71
415 122.59 116.86
416 122.80 116.93
417 122.80 117.48
418 123.17 117.72
419 123.65 117.72
420 123.65 117.72
421 123.65 117.48
422 123.65 117.28
423 123.66 116.96
424 123.93 116.96
425 124.60 116.96
426 124.92 117.16
427 125.04 117.27
428 126.81 118.50
429 127.79 118.59
430 128.75 119.18
431 129.90 119.42
432 130.53 119.53
433 130.75 119.62
434 130.75 119.65
435 130.53 119.65
436 129.44 119.62
437 128.75 119.13
438 128.37 119.13
439 127.94 119.13
440 127.49 119.40
441 127.46 119.45
442 127.44 119.45
443 127.42 119.40
444 127.42 118.88
445 127.35 118.88
446 127.31 118.74
447 127.14 118.73
448 125.68 118.65
449 125.42 118.63
450 124.75 118.55
451 123.90 118.39
452 122.60 116.97
453 122.60 116.97
454 122.60 116.82
455 122.60 116.82
456 122.60 116.82
457 122.55 116.82
458 121.40 116.67
459 119.75 115.89
460 119.67 114.47
461 118.57 114.18
462 116.88 113.25
463 115.22 113.09
464 113.95 112.72
465 112.85 112.50
466 111.75 111.99
467 111.58 111.56
468 111.43 110.00
469 111.58 110.00
470 111.75 110.00
471 112.05 110.13
472 112.63 110.35
473 113.10 110.36
474 113.47 110.39
475 114.29 111.00
476 115.12 111.06
477 116.41 111.06
478 117.14 111.10
479 117.69 111.10
480 117.69 111.10
481 117.69 111.10
482 117.69 111.11
483 117.66 111.11
484 117.66 111.11
485 117.66 111.06
486 117.73 111.01
487 117.76 111.01
488 117.77 111.01
489 117.77 111.07
490 117.79 111.07
491 117.85 111.28
492 117.98 111.54
493 118.22 111.70
494 118.84 111.97
495 118.93 112.36
496 119.05 112.51
497 120.76 112.62
498 122.57 112.62
499 123.18 112.62
500 124.93 112.94
501 125.00 113.13
502 125.63 112.94
503 126.32 113.13
504 126.36 113.13
505 126.36 114.02
506 126.32 114.23
507 126.03 114.84
508 126.03 114.84
509 126.03 114.87
510 126.07 114.84
511 127.67 114.75
512 129.91 113.99
513 130.56 113.99
514 130.76 113.99
515 131.26 114.53
516 131.48 114.53
517 131.41 115.08
518 131.41 115.17
519 131.41 115.38
520 131.41 115.38
521 131.41 115.38
522 131.53 115.38
523 131.84 115.87
524 132.47 115.26
525 132.53 115.26
526 132.71 115.58
527 132.71 115.44
528 132.71 115.26
529 133.06 115.18
530 133.21 115.10
531 133.60 115.03
532 135.68 114.09
533 135.77 113.74
534 135.77 113.74
535 135.70 113.74
536 135.68 113.87
537 135.13 114.18
538 133.83 114.42
539 133.79 114.53
540 133.38 114.59
541 132.16 116.23
542 130.68 117.26
543 129.92 117.37
544 129.82 117.42
545 128.60 117.76
546 128.27 117.79
547 128.27 117.79
548 128.26 117.76
549 128.18 117.74
550 128.22 117.74
551 128.05 117.74
552 128.02 117.77
553 127.91 118.30
554 127.85 118.30
555 127.79 118.50
556 127.85 118.50
557 127.85 118.50
558 127.56 118.54
559 127.56 118.54
560 127.06 118.27
561 125.00 118.14
562 123.66 117.81
563 122.43 117.73
564 120.81 116.68
565 120.10 115.60
566 119.92 115.19
567 119.73 115.05
568 119.40 114.94
569 119.37 114.91
570 119.37 114.63
571 119.24 113.73
572 118.43 112.84
573 117.59 112.44
574 116.09 112.40
575 115.35 112.23
576 114.33 111.84
577 113.86 111.20
578 113.73 110.44
579 113.61 109.69
580 113.49 108.19
581 113.49 107.36
582 113.61 105.99
583 113.96 105.73
584 113.96 104.96
585 114.08 104.51
586 114.10 104.51
587 114.10 104.51
588 114.43 105.16
589 115.28 105.46
590 115.92 105.78
591 117.00 106.25
592 118.39 106.76
593 119.90 106.80
594 121.28 106.92
595 121.47 106.97
596 122.03 107.01
597 122.03 107.01
598 122.03 106.97
599 121.65 106.82
600 121.65 106.65
601 121.65 106.65
602 122.34 106.34
603 122.34 106.34
604 122.34 106.34
605 122.12 106.80
606 122.05 107.18
607 122.05 107.45
608 122.12 108.12
609 122.64 108.48
610 122.64 108.55
611 122.90 108.55
612 122.74 108.55
613 122.74 108.04
614 122.77 107.67
615 122.77 107.66
616 122.74 107.53
617 122.63 107.41
618 122.45 107.32
619 121.78 107.32
620 121.28 107.32
621 121.03 107.41
622 120.76 107.99
623 119.88 108.28
624 118.68 109.51
625 116.66 110.39
626 116.16 110.86
627 115.69 110.86
628 115.46 110.86
629 113.92 110.08
630 111.81 107.51
631 109.74 106.51
632 108.89 104.96
633 107.17 104.51
634 107.05 103.70
635 106.86 103.04
636 106.54 103.04
637 105.96 103.04
638 104.74 103.36
639 104.28 103.36
640 103.77 103.36
641 102.09 101.61
642 100.51 99.74
643 97.60 99.36
644 94.28 99.28
645 92.61 97.26
646 91.04 94.97
647 90.83 94.95
648 90.76 92.53
649 90.57 89.65
650 90.48 86.78
651 90.25 85.14
652 89.04 82.71
653 88.27 79.83
654 86.73 78.59
655 84.96 76.33
656 83.54 73.97
657 82.37 70.41
658 82.27 67.99
659 82.27 64.65
660 82.27 62.66
661 82.61 60.88
662 85.96 57.86
663 89.43 56.49
664 91.99 54.46
665 93.15 52.86
666 95.25 51.02
667 96.60 49.38
668 99.08 47.21
669 99.35 45.48
670 101.28 42.43
671 101.82 38.54
672 102.33 35.46
673 103.78 33.29
674 106.90 29.28
675 109.77 26.17
676 110.02 24.24
677 110.07 22.90
678 110.28 22.40
679 110.62 22.40
680 113.94 22.40
681 119.64 25.43
682 123.62 27.72
683 126.88 28.32
684 131.68 29.75
685 133.68 33.75
686 137.52 36.46
687 139.81 40.29
688 142.78 42.07
689 144.90 43.75
690 148.21 44.74
691 149.53 45.04
692 152.64 45.04
693 156.67 45.15
694 158.74 45.19
695 162.13 45.19
696 165.84 46.18
697 169.14 48.49
698 170.46 49.45
699 172.68 51.49
700 177.45 55.49
701 180.51 57.00
702 181.55 58.19
703 186.05 59.50
704 189.39 62.31
705 191.93 63.83
706 194.01 66.69
707 197.25 69.09
708 199.54 71.44
709 204.06 73.30
710 207.11 77.89
711 210.48 80.89
712 212.43 81.56
713 215.62 83.86
714 215.62 87.37
715 215.62 90.52
716 214.50 91.81
717 213.57 92.58
718 213.27 93.27
719 212.95 93.29
720 212.51 93.70
